#Programa,Nombre de Programa,Stored Procedure
591,Asiento Caja Egresos,USP_ADM_ASIENTO_EGRESO_CAJA
591,Asiento Caja Egresos,USP_ASIENTO_EGRESO_CAJA
592,Asiento Transferencia Caja,USP_ADM_ASIENTO_TRANSFERENCIA_CAJA
592,Asiento Transferencia Caja,USP_ASIENTO_TRANSFERENCIA_CAJA
593,Asiento Banco Confirming,USP_ADM_ASIENTO_CONFIRMING
594,Asiento Aplicacion x Cobrar,USP_ADM_ASIENTO_APLICACION_COBRAR
594,Asiento Aplicacion x Cobrar,USP_ASIENTO_APLICACION_COBRAR
595,Asiento Canje x Cobrar,USP_ADM_ASIENTO_CANJES_COBRAR
596,Asiento Aplicacion x Pagar,USP_ADM_ASIENTO_APLICACION_PAGAR
596,Asiento Aplicacion x Pagar,USP_ASIENTO_APLICACION_PAGAR
597,Asiento Canje x Pagar,USP_ADM_ASIENTO_CANJES_PAGAR
597,Asiento Canje x Pagar,USP_ASIENTO_CANJE_PAGAR
598,Asiento Renovacion Letras Paga,USP_ADM_ASIENTO_RENOVACION_LETRAS_PAGAR
599,Asiento Cuentas Diversas,PR_ERP_FNZ_QRY_GN_AsientoAdelantos
599,Asiento Cuentas Diversas,PR_ERP_FNZ_QRY_GN_ASIENTOCANJESDIVERSOS
599,Asiento Cuentas Diversas,PR_ERP_FNZ_QRY_GN_ASIENTOLIQUIDACIONCUENTASDIVERSAS
600,Asiento Ingreso Almacen Activo,PR_ERP_FNZ_QRY_GN_ASIENTOCOSTOIMPORTACION
600,Asiento Ingreso Almacen Activo,USP_ADM_ASIENTO_INGRESO_ALMACEN_ACTIVO_FIJO
601,"Asiento Activo (DEP,ABJ,AAC)",USP_ADM_ASIENTO_ACTIVACION_ACTIVO
601,"Asiento Activo (DEP,ABJ,AAC)",USP_ADM_ASIENTO_BAJA_ACTIVO
601,"Asiento Activo (DEP,ABJ,AAC)",USP_ASIENTO_DEPRECIACION_ACTIVO
604,Asiento Ventas,USP_ADM_ASIENTO_VENTAS
604,Asiento Ventas,USP_ASIENTO_VENTAS
605,Asiento Produccion,USP_ADM_ASIENTO_ASIGNACION_GASTOS_PRODUCCION
605,Asiento Produccion,USP_ADM_ASIENTO_CONSUMOS_INDIRECTOS_PRODUCCION
605,Asiento Produccion,USP_ADM_ASIENTO_CONSUMOS_PRODUCCION
605,Asiento Produccion,USP_ADM_ASIENTO_COSTO_VENTAS
605,Asiento Produccion,USP_ADM_ASIENTO_TRANSFERENCIA_COSTOS
605,Asiento Produccion,USP_ASIE_ASIG_GASTOS_FABRIC_A_PT
605,Asiento Produccion,USP_ASIE_CONSUMO_INSUMO_INDIRECTO
605,Asiento Produccion,USP_ASIE_COST_I01
605,Asiento Produccion,USP_ASIENTO_CONSUMOREPUESTOS
605,Asiento Produccion,USP_ASIENTO_COSTO_VENTAS
605,Asiento Produccion,USP_ASIENTO_COSTOPROD
605,Asiento Produccion,USP_ASIENTO_COSTOPROD
605,Asiento Produccion,USP_ASIENTO_GASTOS_FABRIC
606,Asiento Provisiones,PR_ERP_ADM_ASIENTO_EVALSERVICIO
606,Asiento Provisiones,PR_ERP_FNZ_QRY_GN_ASIENTODIFERIDOPROVISION
606,Asiento Provisiones,PR_ERP_FNZ_QRY_GN_ASIENTOFLETEPROVISION
606,Asiento Provisiones,PR_ERP_FNZ_QRY_GN_ASIENTORECLASIFICAPROVISION
608,Asiento de Reversion,USP_ADM_ASIENTO_EXTORNO_TIPOCAMBIO
609,Asiento Contratos,PR_ERP_FNZ_QRY_GN_ASIENTOBAJACONTRATO
609,Asiento Contratos,PR_ERP_FNZ_QRY_GN_ASIENTOCONTRATO
609,Asiento Contratos,PR_ERP_FNZ_QRY_GN_ASIENTODEPRECIACIONCONTRATO
609,Asiento Contratos,PR_ERP_FNZ_QRY_GN_ASIENTOESTIMADOCONTRATO
609,Asiento Contratos,PR_ERP_FNZ_QRY_GN_ASIENTOINTERESCONTRATO
609,Asiento Contratos,PR_ERP_FNZ_QRY_GN_ASIENTORECLASIFICACIONCONTRATO
610,Asiento Costo Servicio Maquila,PR_ERP_FNZ_QRY_GN_AsientoCostoServicioMaquila
610,Asiento Costo Servicio Maquila,PR_ERP_FNZ_QRY_GN_AsientoCostoVentaServicioMaquila
610,Asiento Costo Servicio Maquila,PR_ERP_FNZ_QRY_GN_AsientoGastoServicioMaquila
610,Asiento Costo Servicio Maquila,PR_ERP_FNZ_QRY_GN_AsientoProvisionServicioMaquila
610,Asiento Costo Servicio Maquila,PR_ERP_FNZ_QRY_GN_AsientoTransferenciaServicioMaquila
611,Asiento Planilla Cobranza,PR_ERP_FNZ_QRY_GN_AsientoPlanillaCobranza
612,Asiento Comprobante CRT,PR_ERP_FNZ_QRY_GN_AsientoComprobanteRetencion
614,Asiento Distribucion Gastos,USP_ADM_ASIENTO_DISTRIBUCION_GASTOS
643,Asiento Negociacion de Docu,PR_ERP_FNZ_QRY_GN_AsientoDocumentoNegociado
644,Genera Asientos Automaticos,PR_ERP_ADM_ASIENTO_EVALSERVICIO
644,Genera Asientos Automaticos,PR_ERP_FNZ_QRY_GN_ASIENTODOCUMENTOFINANCIERO
644,Genera Asientos Automaticos,PR_ERP_FNZ_QRY_GN_AsientoDocumentoNegociado
644,Genera Asientos Automaticos,PR_ERP_FNZ_QRY_GN_ASIENTOEGRESOCAJAREVERSION
644,Genera Asientos Automaticos,PR_ERP_FNZ_QRY_GN_ASIENTOINGRESOCAJAREVERSION
644,Genera Asientos Automaticos,USP_ADM_ASIENTO_APLICACION_COBRAR
644,Genera Asientos Automaticos,USP_ADM_ASIENTO_APLICACION_PAGAR
644,Genera Asientos Automaticos,USP_ADM_ASIENTO_CAJA_LIQUIDACION
644,Genera Asientos Automaticos,USP_ADM_ASIENTO_CANJES_COBRAR
644,Genera Asientos Automaticos,USP_ADM_ASIENTO_CANJES_PAGAR
644,Genera Asientos Automaticos,USP_ADM_ASIENTO_COMPRAS_ANTICIPO
644,Genera Asientos Automaticos,USP_ADM_ASIENTO_COMPRAS_IMPORTACION
644,Genera Asientos Automaticos,USP_ADM_ASIENTO_COMPRAS_LOCALES
644,Genera Asientos Automaticos,USP_ADM_ASIENTO_COMPRAS_LOCALES_SUNAT
644,Genera Asientos Automaticos,USP_ADM_ASIENTO_EGRESO_BANCO
644,Genera Asientos Automaticos,USP_ADM_ASIENTO_EGRESO_CAJA
644,Genera Asientos Automaticos,USP_ADM_ASIENTO_FACTURA_IMPORTACION
644,Genera Asientos Automaticos,USP_ADM_ASIENTO_GASTOS_VINCULADOS
644,Genera Asientos Automaticos,USP_ADM_ASIENTO_INGRESO_BANCO
644,Genera Asientos Automaticos,USP_ADM_ASIENTO_INGRESO_CAJA
644,Genera Asientos Automaticos,USP_ADM_ASIENTO_RENDICION_GASTO
644,Genera Asientos Automaticos,USP_ADM_ASIENTO_RENDICION_GASTO
644,Genera Asientos Automaticos,USP_ADM_ASIENTO_REVERSION_ESTIMADO
644,Genera Asientos Automaticos,USP_ADM_ASIENTO_TRANSFERENCIA_CAJA
649,Aprobar/Desaprobar/Observar,PR_ERP_FNZ_QRY_GN_PROVISIONCOBRANZADUDOSAANULAR
649,Aprobar/Desaprobar/Observar,PR_ERP_FNZ_QRY_WS_REGISTRASOLICITUDACTIVOFIJO
649,Aprobar/Desaprobar/Observar,SKU_WS_CHILD_INSERTAR_SOLICITUD
649,Aprobar/Desaprobar/Observar,USP_ADM_ENVIA_CORREO_ORDEN_GIRO_APROBACION
649,Aprobar/Desaprobar/Observar,USP_ADM_ENVIA_CORREO_ORDEN_GIRO_QUITA_APROBACION
649,Aprobar/Desaprobar/Observar,USP_ADM_ENVIA_CORREO_ORDEN_GIRO_QUITA_VISTO
649,Aprobar/Desaprobar/Observar,USP_ADM_ENVIA_CORREO_ORDEN_GIRO_VISTO
649,Aprobar/Desaprobar/Observar,USP_ALM_ALERTAS_NOCONFORMIDADES
649,Aprobar/Desaprobar/Observar,USP_CAD_GENERA_PROGRAMACIONCOMPRA
649,Aprobar/Desaprobar/Observar,USP_PPTO_VTAS_ACT_AVANCE_SOL_EN_LINEA
650,Proceso Envio FullStep,PR_ERP_COM_QRY_GN_RegistrarRequerimientoBM_FS
683,Imprime Formato Retencion TH,SP_NUM2LETTHAI
683,Imprime Formato Retencion TH,SP_NUM2LETTHAI
687,Imprime Maestro de Articulos,PR_ERP_FNZ_QRY_GN_REPORTEARTICULO
687,Imprime Maestro de Articulos,PR_ERP_FNZ_QRY_GN_REPORTEARTICULO
689,Imprimir Accesos Empleado,PR_ERP_FNZ_RPT_GN_ACCESOEMPLEADO
726,Consulta N.Ingreso x O.Co/E.Im,USP_ADM_CONSULTAINGXOC
739,Consulta Aplicacion Cobr/Pagar,PR_ERP_FNZ_QRY_GN_AplicacionCobrarAnulacion
749,Consulta Adelanto,PR_ERP_FNZ_QRY_GN_GENERACABECERAINGRESOADELANTO
765,Detalle de Pagos Clientes,USP_CTACTE_DOCVTA_DETALLE
767,Consulta Mov Almacen,USP_CAD_VENTAS_CONSULTAGUIASREL
778,Consulta Retencion Provision,PR_ERP_FNZ_QRY_WS_CONSULTARETENCIONELECTRONICA_EC
778,Consulta Retencion Provision,PR_ERP_FNZ_QRY_WS_RETENCIONELECTRONICA_EC
778,Consulta Retencion Provision,PR_ERP_FNZ_QRY_WS_RETENCIONELECTRONICA_SV
780,Consulta Trabajo Curso,PR_ERP_FNZ_RPT_GN_TRABAJOCURSOCONSULTA
799,Consulta Control Orden Compra,PR_ERP_FNZ_QRY_GN_CANTIDADFACTURADAORDENCOMPRAACTUALIZA
799,Consulta Control Orden Compra,PR_ERP_FNZ_QRY_GN_CANTIDADFACTURADAORDENCOMPRAACTUALIZA
806,Consulta Factura Venta Interfa,PR_ERP_FNZ_QRY_GN_ConsultaFacturaVentaInterface
807,Consulta Guia VTC Interface,PR_ERP_FNZ_QRY_GN_ConsultaGuiaVTCInterface
815,Con/Anu Negociacion de Docu,PR_ERP_FNZ_QRY_GN_AnularDocumentoNegociado
831,Requerimiento de Compra,PR_ERP_COM_QRY_GN_PROCEDENCIA_FS
831,Requerimiento de Compra,USP_GIM_ANULAREQUERIMIENTO
831,Requerimiento de Compra,USP_GIM_LLENA_CONSULTAREQUERIMIENTO
831,Requerimiento de Compra,USP_GIM_LLENA_CONSULTAREQUERIMIENTO
832,Requerimiento al Almacen,USP_GIM_ANULAREQUERIMIENTO
832,Requerimiento al Almacen,USP_GIM_LLENA_CONSULTAREQUERIMIENTO
832,Requerimiento al Almacen,USP_GIM_LLENA_CONSULTAREQUERIMIENTO
837,Requerimiento Servicio Flete,dbo.USP_ADM_ACTUALIZA_RSF_BLOQUE_SALDO
841,Orden de Giro,USP_ADM_ENVIA_CORREO_ORDEN_GIRO
842,Orden de Giro - VALIDACION,USP_ADM_ENVIA_CORREO_ORDEN_GIRO
845,Solicitud Creacion de Activo,PR_ERP_FNZ_QRY_WS_REGISTRASOLICITUDACTIVOFIJO
847,Solicitud de Obsequios,USP_PPTO_VTAS_ACT_AVANCE_SOL_EN_LINEA
857,Calcular Precios SP,USP_COM_CALCULAR_DOCVENTA
860,Evaluacion de Servicio,USP_ADMIN_EVALSERV
860,Evaluacion de Servicio,USP_ADMIN_EVALSERV
864,Cancelacion Requerimien Compra,PR_ERP_COM_QRY_GN_PROCEDENCIA_FS
877,Reporte de Obsequios - MX,PR_ERP_FNZ_QRY_GN_ReporteObsequios
884,Reporte de Trazabilidad,USP_REPORTE_TRAZABILIDAD
886,Importar Requerimiento - Excel,USP_GENREQCOM
890,Plan de Materiales AVAIL,dbo.USP_ADM_CONSULTAREQAVAIL
890,Plan de Materiales AVAIL,dbo.USP_ADM_CONSULTAREQCRONOGRAMAAVAIL
890,Plan de Materiales AVAIL,dbo.USP_ADM_CONSULTAREQDETALLEAVAIL
890,Plan de Materiales AVAIL,USP_ADM_CREAREQDESDEAVAIL
894,Maestro de Tipo Cambios,PR_ERP_FNZ_QRY_GN_TIPOCAMBIO
896,Mantenimiento Articulos,COM_SALESFORCE_PRODUCTOS
896,Mantenimiento Articulos,PR_ERP_COM_QRY_GN_ALERTASTDARTICULO
896,Mantenimiento Articulos,PR_ERP_COM_QRY_GN_RegistrarItemIntegracion
896,Mantenimiento Articulos,PR_ERP_COM_QRY_GN_REGISTRASTD_ARTICULO
896,Mantenimiento Articulos,USP_ADM_ENVIA_CORREO_MAESTRO_ARTICULO
896,Mantenimiento Articulos,USP_GIM_LLENA_GETARTICULO
896,Mantenimiento Articulos,USP_GIM_LLENA_GETSERVICIOS
897,Mantenimiento Nuevo SKU Local,COM_SALESFORCE_PRODUCTOS
900,Personas,PR_ERP_FNZ_QRY_GN_REPORTEPERSONA
903,Proveedores-Coorporativo,PR_ERP_COM_QRY_GN_PROCEDENCIA_FS
903,Proveedores-Coorporativo,PR_ERP_COM_QRY_GN_RegistrarItemIntegracion
903,Proveedores-Coorporativo,PR_ERP_FNZ_QRY_GN_ExisteProveedor
903,Proveedores-Coorporativo,PR_ERP_FNZ_QRY_GN_ExisteProveedor
911,Importar Datos del Proveedor,PR_ERP_FNZ_QRY_GN_MAESTROSDEPROVEEDORIMPORTAR
918,Accesos de Empleado,PR_ERP_FNZ_QRY_GN_ACCESOEMPLEADO
918,Accesos de Empleado,PR_ERP_FNZ_QRY_GN_COPIARACCESOEMPLEADO
918,Accesos de Empleado,PR_ERP_FNZ_RPT_GN_AccesosdeEmpleados
918,Accesos de Empleado,PR_ERP_FNZ_RPT_GN_AccesosdeEmpleados
918,Accesos de Empleado,PR_ERP_FNZ_RPT_GN_AccesosdeEmpleados
918,Accesos de Empleado,PR_ERP_FNZ_RPT_GN_AccesosdeEmpleados
918,Accesos de Empleado,PR_ERP_FNZ_RPT_GN_AccesosdeEmpleados
918,Accesos de Empleado,PR_ERP_FNZ_RPT_GN_AccesosdeEmpleados
918,Accesos de Empleado,PR_ERP_FNZ_RPT_GN_AccesosdeEmpleados
918,Accesos de Empleado,PR_ERP_FNZ_RPT_GN_AccesosdeEmpleados
918,Accesos de Empleado,PR_ERP_FNZ_RPT_GN_AnularAccesosdeEmpleados
918,Accesos de Empleado,PR_ERP_FNZ_RPT_GN_AnularAccesosdeEmpleados
918,Accesos de Empleado,PR_ERP_FNZ_RPT_GN_AnularAccesosdeEmpleados
918,Accesos de Empleado,PR_ERP_FNZ_RPT_GN_AnularAccesosdeEmpleados
918,Accesos de Empleado,PR_ERP_FNZ_RPT_GN_AnularAccesosdeEmpleados
918,Accesos de Empleado,PR_ERP_FNZ_RPT_GN_AnularAccesosdeEmpleados
918,Accesos de Empleado,PR_ERP_FNZ_RPT_GN_AnularAccesosdeEmpleados
920,Empleados (fecha baja y susp),PR_ERP_COM_QRY_GN_RegistrarPerfilFS
920,Empleados (fecha baja y susp),PR_ERP_FNZ_QRY_GN_ELIMINARACCESOEMPLEADO
920,Empleados (fecha baja y susp),PR_ERP_FNZ_QRY_GN_ELIMINARACCESOEMPLEADO
920,Empleados (fecha baja y susp),USP_ADM_ENVIA_CORREO_NUEVO_EMPLEADO
921,Importar Maestro Empleados,PR_ERP_FNZ_QRY_GN_MAESTROEMPLEADOIMPORTAR
922,Configuracion de Empleados Cia,USP_CONFIG_EMPLEADO_CREAR
922,Configuracion de Empleados Cia,USP_CONFIG_EMPLEADO_REP
923,Maestro Deudores,PR_ERP_FNZ_QRY_GN_MAESTRODEUDORIMPORTAR
1028,Replicar Maestros Estandar,dbo.PR_ERP_FNZ_QRY_GN_COPIARCONFIGURACIONCONTABLE
1028,Replicar Maestros Estandar,dbo.PR_ERP_FNZ_QRY_GN_COPIARMAESTROSESTANDAR
1028,Replicar Maestros Estandar,dbo.PR_ERP_FNZ_RPT_GN_ListadoTablasMigradaMaestrosEstandar
